In,Out,Weight
760180,5111146,1
1226748,5848638,1
1226748,439963,1
4542111,5786218,1
3917754,4063281,1
392591,182668,1
392591,5937022,1
2633577,2553506,1
2633577,5918536,1
838912,5159481,1
3003810,1451635,1
4850895,4850895,1
590572,3633742,1
28875,3914072,1
5686131,479654,1
5373368,5444625,1
4933483,5019163,1
1469799,1464112,1
279326,1175966,1
5044062,401096,1
5061419,4854965,1
5061419,5444625,1
5361321,5314529,1
5361321,4111931,1
4720622,4281779,1
4720622,911625,1
3435728,757039,1
5410225,4780833,1
5876796,2755131,1
5255543,4679611,1
5255543,5814792,1
6002853,3952018,1
6002729,14104,1
6002729,2040863,1
2190986,1554165,1
2943870,4998471,1
5969116,69349,1
5898512,5444625,1
4709842,775948,1
976827,663031,1
4274083,4460252,1
4274083,1865844,1
135982,1388577,1
3374335,3005251,1
5346108,5779099,1
6002224,459516,1
5694324,1699214,1
1170330,2165382,1
5563910,5946386,1
5563910,5474689,1
1245564,791010,1
1245564,152016,1
6002601,5123432,1
987843,212878,1
3340899,6002507,1
3340899,5669114,1
3340899,5313366,1
4829582,5654842,1
5642332,3005251,1
4575328,200576,1
4032857,4032857,2
1786055,1984039,1
1786055,3489878,1
1786055,351705,1
1786055,5946386,1
1786055,4782919,1
1786055,1447675,1
867461,2060966,1
867461,3708462,1
867461,1549541,1
867461,92063,1
4055808,1865844,1
3709988,1942,1
3709988,1894471,1
5422870,4540183,1
5422870,5669114,1
5422870,1379089,1
5995303,14104,1
5995303,5713935,1
4875059,5939408,1
4875059,2996538,1
6002142,5651109,1
6001629,4050852,1
6001629,218548,1
6001629,3682254,1
6001629,5499870,1
6001629,773259,1
6002367,1100874,1
6002367,2100197,1
6002367,4467741,1
274500,871050,1
274500,1105858,1
2045016,1200549,1
2045016,5035890,1
2045016,1984039,1
2045016,2792083,1
6002220,1765767,1
2903610,4800758,1
2903610,1442508,1
2903610,3130401,1
1010152,761212,1
3104885,5690396,1
4116205,2100197,1
5002004,2560321,1
2034750,5883282,1
3247517,5682485,1
4876587,989722,1
4876587,2560321,1
1817550,575527,1
1262568,5703332,1
2420820,4180763,1
2420820,2087551,1
5873321,2356315,1
5559054,2332336,1
5559054,4262006,1
5559054,3747958,1
4701699,1126127,1
3439889,3489878,1
3439889,3385180,1
3439889,2030321,1
5903663,1098884,1
2026065,5690396,1
2026065,5882767,1
1227427,1984039,1
1227427,5941951,1
1227427,4948676,1
1227427,2792083,1
5082168,3282945,1
3656408,5870968,1
5686080,5686080,1
2826646,2826646,1
420229,1339840,1
420229,1105858,1
5446406,1865844,1
3004797,1478566,1
3004797,1447675,1
2196636,5989026,1
2196636,2538207,1
4689835,4661744,1
4689835,731538,1
4689835,5431005,1
4557690,3149036,1
4557690,5810332,1
887128,5875416,1
4810450,6509,1
4810450,6002321,1
1980859,2641352,1
5316558,3747958,1
5316558,3682254,1
5974313,3489878,1
5974313,5598423,1
5974313,4613398,1
5974313,3828533,1
5974313,3145318,1
869290,4552639,1
5984596,1746830,1
5984596,236660,1
5984596,1554165,1
5984596,4602794,1
5984596,1006854,1
3429445,1554165,1
6002345,4361951,1
6002345,5762799,1
5876146,5788429,1
5876146,3974539,1
5876146,4262006,1
5010106,1746830,1
5010106,5188543,1
2510446,2510446,1
911930,1984039,1
911930,3227403,1
735310,4899762,1
735310,3817053,1
735310,735310,1
6002333,4506612,1
6002333,5098110,1
6002281,3489878,1
6002281,1972871,1
6002281,1447675,1
6002281,4643895,1
5929580,2396874,1
815591,3360175,1
4345344,499773,1
4345344,363341,1
4345344,5070577,1
4345344,3011380,1
4345344,4786202,1
3215427,519413,1
5274362,3489878,1
4754453,1216451,1
378594,1984039,1
378594,5319929,1
3964539,1984039,1
5691599,3832970,1
5999652,3360175,1
5562078,4453597,1
1179459,5540755,1
6000624,863110,1
6002206,1660757,1
649489,1416013,1
649489,4281779,1
649489,1059101,1
649489,1431042,1
5476612,4763793,1
5963495,4281779,1
5283721,1865844,1
757237,476,1
6001899,645551,1
6001899,6782,1
695749,695749,1
1368868,871050,1
1368868,157247,1
5780237,5602917,1
1669101,5678086,1
1669101,5540755,1
5950472,5041060,2
4086096,3489878,1
4790121,4281779,1
954930,4408039,1
1323481,1479535,1
1323481,58186,1
5637898,519413,1
5637898,3060456,1
1223290,1524316,1
5901481,781707,1
5901481,1034004,1
5901481,5535245,1
4540183,2281280,1
5681776,4063281,1
5681776,2909905,1
5410225,5431005,1
1693705,1746830,1
1693705,5406012,1
3379536,3930193,1
5901481,5222444,1
4716796,1945651,1
4716796,2538207,1
6001981,519413,1
1065869,4768502,1
2556555,3037257,1
2556555,2168733,1
2556555,1746830,1
2556555,1447675,1
4462462,4419834,1
2190986,4640209,1
1125171,21061,1
6001791,2865792,1
4494614,3669698,1
4494614,3042398,1
5210922,5240326,1
5210922,4970290,1
5210922,5181206,1
6001800,217408,1
973411,1149277,1
973411,3454778,1
575835,3716608,1
4841117,893780,1
5974313,1479535,1
5974313,157247,1
5035377,5108418,1
5035377,5992411,1
2507870,1845664,1
4217999,4906941,1
4217999,5980010,1
4217999,3671377,1
5876796,5742681,1
5876796,4613398,1
2181236,2773086,1
2181236,5972387,1
2030321,1088797,1
2983295,3176651,1
903885,391329,1
4711865,6001369,1
4711865,3278822,1
6001187,6001258,1
6001187,5935687,1
3415175,2700262,1
1323481,4281779,1
1323481,1984039,1
1323481,3113793,1
1323481,4948478,1
5997765,816620,1
5997765,1545088,1
5997765,5847921,1
5997765,5848638,1
3104885,3832970,1
3104885,5999056,1
644013,3092377,1
5845210,2755131,1
1984039,5742681,1
1984039,1208859,1
1984039,2668477,1
1984039,4978205,1
1984039,2801559,1
1984039,989121,1
5740681,212107,1
5945399,1901857,1
2651990,1554165,1
2794931,5188846,1
2794931,5546499,1
2175150,1209018,1
2175150,3113490,1
2175150,6001369,1
5997391,5211639,1
5997391,1676224,1
5997391,5974732,1
1976975,1984039,1
1976975,519413,1
5729986,5999056,1
5086633,1727092,1
5086633,573032,1
5915911,1792391,1
5915911,4609895,1
5815147,1554165,1
5815147,6001295,1
2221105,5269823,1
2221105,2827823,1
2221105,5999056,1
2265011,2755131,1
6001408,4460252,1
1703696,3637421,1
5979529,5788429,1
5979529,5999652,1
5979529,636348,1
5979529,5750801,1
5979529,3578809,1
4195561,5690396,1
4195561,1842959,1
3858177,5838681,1
4489665,2827823,1
4489665,3994197,1
4489665,1049527,1
4489665,4921471,1
4713094,2191722,1
5840991,4063281,1
4703789,1213296,1
3546176,3578809,1
5738290,5070577,1
5738290,5678086,1
5302264,1202118,1
6001295,5980010,1
1693319,1549493,1
1693319,2093288,1
6001202,757508,1
5847850,3322222,1
5905935,785864,1
5905935,122005,1
1470961,5459839,1
1470961,5788429,1
2410643,1209018,1
2410643,1059101,1
2226388,5463904,1
2226388,4582675,1
4670353,1746830,1
6001270,1964272,1
924069,5999769,1
924069,3671090,1
924069,2907528,1
5560992,3669698,1
5560992,1851658,1
5560992,5313366,1
4830789,1587206,1
4830789,3783478,1
4830789,5266537,1
4516676,4516676,1
5535987,1964272,1
4922786,4922786,1
5375118,3448903,1
6000684,5218951,1
1229624,2773086,1
5266537,5266537,1
2614564,1059101,1
602659,4015856,1
511659,5819528,1
511659,4041297,1
2567859,1984039,1
2567859,1792391,1
5956220,4902632,1
5606960,3464971,1
3858177,4012106,1
3858177,1709234,1
3858177,4906941,1
5996988,1746830,1
5996988,3783478,1
5868331,721491,1
2775973,5010637,1
3422726,5944783,1
3422726,1984039,1
5503464,7966,1
5503464,4692464,1
5503464,4759033,1
6000839,5741762,1
2548883,493796,1
4725812,1984039,1
2026413,5389325,1
2001988,2265998,1
2001988,2691058,1
2001988,2622513,1
5900360,1984039,1
1184100,114251,1
5606960,5788329,1
