Node,In_weight,Out_weight
3682254,2,0
5499870,1,0
773259,1,0
1100874,1,0
4467741,1,0
274500,0,2
871050,2,0
1105858,2,0
2045016,0,4
1200549,1,0
2792083,2,0
6002220,0,1
1765767,1,0
2903610,0,3
4800758,1,0
1442508,2,0
1010152,0,1
761212,1,0
3104885,0,3
5690396,6,0
4116205,0,1
5002004,0,1
2560321,2,0
2034750,0,1
5883282,16,0
3247517,0,1
5682485,2,0
4876587,0,2
1817550,0,1
575527,1,0
1262568,0,1
5703332,1,0
2420820,0,2
4180763,1,0
2087551,1,0
5873321,0,2
5559054,0,4
2332336,2,0
4262006,5,0
3747958,2,0
4701699,0,1
1126127,1,0
3439889,0,3
3385180,2,0
2030321,2,1
5903663,0,1
1098884,1,0
2026065,0,2
5882767,1,0
1227427,0,4
5941951,1,0
5082168,0,2
3282945,2,0
3656408,0,1
5870968,1,0
5686080,1,1
2826646,1,1
420229,0,2
1339840,1,0
5446406,0,1
3004797,0,2
1478566,1,0
2196636,0,2
5989026,2,0
2538207,3,0
4689835,0,6
4661744,3,0
731538,2,0
5431005,4,2
4557690,0,2
3149036,2,0
5810332,1,0
887128,0,1
5875416,11,0
4810450,0,2
6509,2,0
6002321,1,0
1980859,0,1
2641352,1,0
5316558,0,2
5598423,1,0
4613398,3,0
3828533,1,0
3145318,1,0
869290,2,1
4552639,1,0
5984596,0,5
236660,1,0
4602794,1,0
1006854,2,0
3429445,0,1
6002345,0,2
4361951,2,0
5876146,0,3
5788429,4,0
5010106,0,2
2510446,1,1
911930,0,2
3227403,1,0
735310,1,3
4899762,1,0
3817053,1,0
6002333,0,2
4506612,1,0
5098110,1,0
6002281,0,4
1972871,1,0
4643895,1,0
5929580,0,1
2396874,6,0
815591,0,1
4345344,0,8
499773,1,0
5070577,2,0
4786202,1,0
3215427,0,1
5274362,0,1
4754453,0,1
1216451,2,0
378594,0,2
5319929,1,0
3964539,0,1
5691599,0,1
5999652,2,1
4453597,1,0
1179459,0,2
5540755,2,0
6000624,0,3
863110,1,0
6002206,0,1
1660757,1,0
649489,0,4
1059101,4,0
5476612,0,1
4763793,2,0
5963495,0,1
5283721,0,1
757237,0,1
6001899,0,2
645551,3,0
6782,1,0
695749,1,1
1368868,0,2
5780237,0,1
5602917,1,0
1669101,0,2
5950472,0,2
5041060,2,0
4086096,0,1
4790121,0,1
954930,0,1
4408039,2,0
1323481,0,6
1479535,2,0
58186,1,0
5637898,0,2
3060456,1,0
1223290,0,1
1524316,2,0
5901481,0,4
781707,1,0
1034004,1,0
2281280,1,0
5681776,0,2
2909905,3,0
1693705,0,2
5406012,4,0
3379536,0,1
5222444,3,0
4716796,0,2
1945651,1,0
6001981,0,1
1065869,1,5
2556555,0,4
2168733,1,1
4462462,0,1
4640209,4,0
1125171,0,1
21061,1,0
6001791,0,1
2865792,1,0
4494614,0,2
3042398,1,0
5210922,0,3
5240326,1,0
4970290,1,0
5181206,1,0
6001800,0,1
973411,0,2
3454778,1,0
575835,0,1
4841117,0,1
893780,1,0
5035377,0,2
5992411,3,0
2507870,0,1
1845664,3,0
4217999,0,8
4906941,3,0
3671377,1,0
5742681,2,0
2181236,0,2
2773086,3,0
5972387,1,0
1088797,2,0
2983295,0,1
3176651,1,0
391329,1,0
4711865,0,2
6001369,5,0
3278822,3,0
6001187,0,2
6001258,1,0
5935687,1,0
3415175,0,1
2700262,1,1
3113793,1,0
4948478,1,0
5997765,0,4
1545088,3,0
5847921,1,0
644013,0,1
3092377,1,0
5845210,0,1
2668477,1,0
4978205,2,0
989121,1,0
5740681,0,1
212107,1,0
5945399,0,1
2651990,0,1
2794931,0,2
5188846,1,0
5546499,1,0
2175150,2,6
3113490,2,0
5997391,0,3
5211639,1,0
1676224,1,0
5974732,1,0
1976975,0,2
5729986,0,1
5086633,0,2
1727092,2,0
573032,5,0
5915911,0,2
5815147,0,2
2221105,0,3
2265011,0,1
6001408,0,1
1703696,0,1
3637421,1,0
5979529,0,5
636348,2,0
5750801,1,0
3578809,2,0
4195561,0,2
1842959,8,0
5838681,2,0
4489665,0,4
3994197,3,0
1049527,1,0
4713094,0,1
2191722,1,0
5840991,0,1
1213296,6,0
3546176,0,1
5738290,0,2
5302264,0,1
1202118,2,0
1693319,0,2
1549493,1,0
2093288,1,0
6001202,0,1
757508,4,0
5847850,0,1
3322222,1,0
5905935,0,2
785864,2,0
122005,4,0
1470961,0,2
5459839,7,0
2410643,0,2
2226388,0,2
5463904,1,0
4582675,5,0
4670353,0,1
6001270,0,1
1964272,2,0
924069,0,3
5999769,1,0
3671090,1,0
5560992,0,3
1851658,1,0
4830789,0,6
1587206,1,0
3783478,2,0
5266537,2,1
4516676,1,1
5535987,0,1
4922786,1,1
5375118,3,1
3448903,3,0
6000684,0,1
5218951,1,0
1229624,1,1
2614564,0,1
602659,0,1
4015856,1,0
511659,0,2
5819528,1,0
4041297,1,0
5956220,0,1
4902632,2,0
5606960,0,2
3464971,1,0
4012106,4,0
1709234,3,0
5996988,0,2
5868331,0,1
2775973,0,1
5010637,1,0
3422726,0,2
5944783,1,0
5503464,0,3
4692464,3,0
4759033,4,0
6000839,0,1
2548883,0,1
493796,1,0
4725812,0,1
2026413,0,1
5389325,1,0
2001988,0,3
2265998,1,0
2691058,2,0
2622513,1,0
5900360,0,1
1184100,0,1
5788329,2,0
83658,0,1
5026766,0,1
5425864,1,0
5241453,0,1
5865487,0,2
5992309,3,0
5539800,0,1
3844586,0,1
3289108,0,1
3150441,1,0
1871844,1,0
2067976,5,0
1854856,1,2
4661149,0,1
3844510,0,4
3828573,3,0
5824483,2,0
4531787,1,0
4395287,1,0
5554751,0,1
752920,1,0
2188299,0,1
5127478,5,0
5056,1,1
806600,1,0
2293454,0,1
1739976,2,0
512115,0,5
3113477,1,0
1661640,0,1
5921097,0,1
4345996,0,2
2238713,1,0
367878,0,1
4889239,0,3
1207539,1,0
5754587,1,0
4437469,0,3
701435,1,0
2793265,1,0
3585673,0,1
4592875,0,2
1259510,3,0
4192691,0,1
3268003,1,1
2716653,0,1
2259303,1,1
4698790,0,2
5556440,1,0
2946873,0,2
257182,1,0
1619369,0,1
1876949,1,0
4155394,0,1
1639634,2,0
4980088,1,3
41211,1,0
889349,0,1
5971066,0,2
3817184,0,2
1397648,1,0
2171374,1,0
5999102,0,1
3694345,1,0
2269164,0,4
3925552,1,0
4500099,1,0
3017452,1,3
5991749,1,0
2837547,1,0
5483329,0,1
4278394,1,0
5919894,0,2
5630200,1,0
6128842,1,0
5437138,0,1
5077154,1,0
5194175,1,2
5607107,8,0
1046184,0,2
775715,2,0
2050092,1,0
1578872,0,1
4520274,1,0
6004842,0,1
59501,1,0
1787967,0,2
4170645,1,0
1815524,1,0
4952054,0,1
6004650,6,0
1731539,1,2
472883,1,0
2702425,1,2
459557,1,0
5369588,1,2
3291067,2,0
5144855,0,8
5423536,2,0
250260,2,0
5717927,2,0
2517849,1,0
3395198,3,0
2916610,0,4
3205932,9,0
2970947,4,0
1737819,1,0
4862610,2,0
1991579,0,3
1932557,6,0
5946019,1,0
1876620,1,0
5457454,0,3
5625089,1,0
1545952,12,0
5274769,1,0
1289222,1,2
4233197,1,0
763029,0,3
5645988,1,0
4601349,1,0
6087250,1,0
3030634,0,1
4865842,1,0
2204926,2,1
1376111,1,0
1915099,0,2
3679676,2,0
1893392,1,3
5980558,1,1
2887618,1,0
1440434,1,2
1258079,1,0
1688093,0,3
5358480,1,0
